,name,place_id,business_status,location,raiting,price_level,total_reviews,direction
420,Isabella's Restaurant,ChIJrya5j3GYpBIRwr4kUM3PkQI,OPERATIONAL,"{'lat': 41.3960258, 'lng': 2.1369592}",4.3,3.0,1642,"C/ de Ganduxer, 50, Barcelona"
421,Grill Corner Sarrià,ChIJRczGORSZpBIRs0y3rO0nOoc,OPERATIONAL,"{'lat': 41.3925995, 'lng': 2.1344166}",4.3,,487,"Carrer de Can Ràbia, 3, Barcelona"
422,La Burguesa Garden,ChIJc5WJMG6YpBIRQuh_4s3dwGU,OPERATIONAL,"{'lat': 41.3945723, 'lng': 2.1344283}",4.0,1.0,510,"Carrer del Dr. Fleming, 25, Local 5, Barcelona"
423,Ribs Doctor Fleming,ChIJFR88InCYpBIRFKYFzERvVkY,OPERATIONAL,"{'lat': 41.3934447, 'lng': 2.1356838}",3.6,2.0,2143,"Carrer del Dr. Fleming, 10, Barcelona"
424,Keik Cafè Restaurant,ChIJ-dY8K26YpBIR058Nc-5uiHk,OPERATIONAL,"{'lat': 41.39414300000001, 'lng': 2.1345976}",4.2,2.0,737,"Carrer del Dr. Fleming, 21, Barcelona"
425,9Reinas Gourmet. Restaurant argentí,ChIJG8uI43CYpBIRYcdUjQKaYkI,OPERATIONAL,"{'lat': 41.3936739, 'lng': 2.1384925}",4.5,3.0,375,"C/ de Ganduxer, 28, Barcelona"
426,Fishhh to go,ChIJGdKtn3GYpBIRyztXrmSkmRM,OPERATIONAL,"{'lat': 41.3953276, 'lng': 2.1375305}",4.6,,120,"Carrer de Modolell, 2, Barcelona"
427,Restaurant El Racó d'Eguilaz,ChIJMTYqA2-YpBIRbc9zIA2sY68,OPERATIONAL,"{'lat': 41.393975, 'lng': 2.1320109}",3.4,2.0,8,"Ronda del General Mitre, 23, Barcelona"
428,Qq,ChIJGeUOt02ZpBIRO20g-LIX7PE,OPERATIONAL,"{'lat': 41.3936683, 'lng': 2.1359275}",4.6,2.0,16,"C. de Santa Fe de Nou Mèxic, 4, Barcelona"
429,Tafs Restaurants S A,ChIJMd3MAnGYpBIRVQIs0dQIFnA,OPERATIONAL,"{'lat': 41.3941447, 'lng': 2.1382649}",5.0,,1,"C/ de Ganduxer, 34, Barcelona"
430,ÁNDELE Santa Fe,ChIJ8dRB0nqYpBIRTnBNVYyYh_o,OPERATIONAL,"{'lat': 41.3938386, 'lng': 2.1361458}",4.1,2.0,4057,"C. de Santa Fe de Nou Mèxic, 6, Barcelona"
431,El chalito,ChIJ-5-zag-ZpBIRV3Fj64cfGUQ,OPERATIONAL,"{'lat': 41.3976437, 'lng': 2.1357302}",3.3,,7,"Via Augusta, Barcelona"
